Species Tree Node	Duplications (all)	Duplications (50% support)
N0	2776	1794
N5	1435	515
HPSI_059.pep	750	750
HSYZ_003.pep	1537	1537
HPSI_072.pep	837	837
N4	663	260
N11	104	104
N7	508	211
N2	1210	549
N6	775	227
N12	14	11
N10	75	38
HEUG_001.pep	913	913
N9	33	18
HSYZ_002.pep	560	560
N3	307	307
N1	2254	1826
HPSI_010.pep	340	340
HPSI_069.pep	1108	1108
HPSI_019.pep	27	27
HPSI_016.pep	4	4
N16	8	4
HPSI_041.pep	27	27
HPSI_080.pep	412	412
HSYZ_001.pep	697	697
N8	423	211
HPSI_007.pep	26	26
HPSI_065.pep	2	2
HPSI_068.pep	41	41
N14	7	7
HPSI_003.pep	8	8
HPSI_060.pep	9	9
HPSI_037.pep	2	2
N15	9	8
N13	12	9
N18	6	6
HPSI_027.pep	1	1
HPSI_035.pep	5	5
